# BEGIN PLOT
LegendOnly=/CMS_2011_S8884919/d02-x01-y01 //home/ceskajak/Ups/PYTHIA/rivet_MinBias_noSD/PY_rivet_MinBias_noSD.yoda/CMS_2011_S8884919/d02-x01-y01
DrawOnly=/CMS_2011_S8884919/d02-x01-y01 //home/ceskajak/Ups/PYTHIA/rivet_MinBias_noSD/PY_rivet_MinBias_noSD.yoda/CMS_2011_S8884919/d02-x01-y01
Title=Charged hadron multiplicity, $|\eta| < 0.5$, $\sqrt{s} = 0.9\,\text{TeV}$
RatioPlot=1
LogY=1
FullRange=1
RatioPlotReference=/CMS_2011_S8884919/d02-x01-y01
LegendXPos=0.7
XLabel=n
YLabel=$P_{n}$
Legend=1
# END PLOT

# BEGIN HISTO1D /CMS_2011_S8884919/d02-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2011_S8884919/d02-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	5.000000e-01	1.930000e-01	2.189155e-02	3.166323e-02
5.000000e-01	1.500000e+00	1.504000e-01	1.218072e-02	1.586190e-02
1.500000e+00	2.500000e+00	1.350700e-01	7.909551e-03	1.094854e-02
2.500000e+00	3.500000e+00	1.164700e-01	6.072833e-03	8.490583e-03
3.500000e+00	4.500000e+00	9.566000e-02	4.838605e-03	7.046453e-03
4.500000e+00	5.500000e+00	7.567000e-02	3.828276e-03	5.675747e-03
5.500000e+00	6.500000e+00	5.817000e-02	3.016836e-03	4.395202e-03
6.500000e+00	7.500000e+00	4.427000e-02	2.365798e-03	3.365071e-03
7.500000e+00	8.500000e+00	3.370000e-02	1.884702e-03	2.604995e-03
8.500000e+00	9.500000e+00	2.572000e-02	1.561089e-03	2.053534e-03
9.500000e+00	1.050000e+01	1.948000e-02	1.308167e-03	1.652211e-03
1.050000e+01	1.150000e+01	1.457000e-02	1.114002e-03	1.349741e-03
1.150000e+01	1.250000e+01	1.069000e-02	9.219544e-04	1.118034e-03
1.250000e+01	1.350000e+01	7.690000e-03	7.203471e-04	9.060905e-04
1.350000e+01	1.450000e+01	5.500000e-03	5.508176e-04	7.061161e-04
1.450000e+01	1.550000e+01	3.960000e-03	4.301163e-04	5.457105e-04
1.550000e+01	1.650000e+01	2.890000e-03	3.383785e-04	4.148494e-04
1.650000e+01	1.750000e+01	2.112000e-03	2.746962e-04	3.257760e-04
1.750000e+01	1.850000e+01	1.544000e-03	2.237722e-04	2.668970e-04
1.850000e+01	1.950000e+01	1.118000e-03	1.907092e-04	2.292706e-04
1.950000e+01	2.050000e+01	7.520000e-04	1.601125e-04	1.904206e-04
2.050000e+01	2.350000e+01	3.350000e-04	8.134494e-05	9.646243e-05
2.350000e+01	2.850000e+01	9.800000e-05	2.505993e-05	3.417601e-05
# END HISTO1D


# BEGIN HISTO1D //home/ceskajak/Ups/PYTHIA/rivet_MinBias_noSD/PY_rivet_MinBias_noSD.yoda/CMS_2011_S8884919/d02-x01-y01
LineColor=red
LineStyle=solid
Path=//home/ceskajak/Ups/PYTHIA/rivet_MinBias_noSD/PY_rivet_MinBias_noSD.yoda/CMS_2011_S8884919/d02-x01-y01
ScaledBy=3.98033538864823826e-10
Title=PY_rivet_MinBias_noSD
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	5.000000e-01	4.064264e-02	4.022080e-06	4.022080e-06
5.000000e-01	1.500000e+00	4.792713e-02	4.367677e-06	4.367677e-06
1.500000e+00	2.500000e+00	5.964849e-02	4.872587e-06	4.872587e-06
2.500000e+00	3.500000e+00	6.082603e-02	4.920447e-06	4.920447e-06
3.500000e+00	4.500000e+00	5.746195e-02	4.782445e-06	4.782445e-06
4.500000e+00	5.500000e+00	5.444177e-02	4.655067e-06	4.655067e-06
5.500000e+00	6.500000e+00	5.225555e-02	4.560642e-06	4.560642e-06
6.500000e+00	7.500000e+00	5.067398e-02	4.491096e-06	4.491096e-06
7.500000e+00	8.500000e+00	4.951100e-02	4.439261e-06	4.439261e-06
8.500000e+00	9.500000e+00	4.811530e-02	4.376243e-06	4.376243e-06
9.500000e+00	1.050000e+01	4.690402e-02	4.320807e-06	4.320807e-06
1.050000e+01	1.150000e+01	4.496494e-02	4.230550e-06	4.230550e-06
1.150000e+01	1.250000e+01	4.291794e-02	4.133132e-06	4.133132e-06
1.250000e+01	1.350000e+01	4.040576e-02	4.010343e-06	4.010343e-06
1.350000e+01	1.450000e+01	3.822513e-02	3.900627e-06	3.900627e-06
1.450000e+01	1.550000e+01	3.551667e-02	3.759898e-06	3.759898e-06
1.550000e+01	1.650000e+01	3.245675e-02	3.594283e-06	3.594283e-06
1.650000e+01	1.750000e+01	2.948461e-02	3.425764e-06	3.425764e-06
1.750000e+01	1.850000e+01	2.629120e-02	3.234931e-06	3.234931e-06
1.850000e+01	1.950000e+01	2.330960e-02	3.045981e-06	3.045981e-06
1.950000e+01	2.050000e+01	2.035472e-02	2.846377e-06	2.846377e-06
2.050000e+01	2.350000e+01	1.506144e-02	1.413619e-06	1.413619e-06
2.350000e+01	2.850000e+01	7.351786e-03	7.650171e-07	7.650171e-07
# END HISTO1D

