# BEGIN PLOT
LegendOnly=/CMS_2011_S8884919/d03-x01-y01 //home/ceskajak/Ups/PYTHIA/rivet_MinBias/PY_rivet_MinBias.yoda/CMS_2011_S8884919/d03-x01-y01
DrawOnly=/CMS_2011_S8884919/d03-x01-y01 //home/ceskajak/Ups/PYTHIA/rivet_MinBias/PY_rivet_MinBias.yoda/CMS_2011_S8884919/d03-x01-y01
Title=Charged hadron multiplicity, $|\eta| < 1.0$, $\sqrt{s} = 0.9\,\text{TeV}$
RatioPlot=1
LogY=1
FullRange=1
RatioPlotReference=/CMS_2011_S8884919/d03-x01-y01
LegendXPos=0.7
XLabel=n
YLabel=$P_{n}$
Legend=1
# END PLOT

# BEGIN HISTO1D /CMS_2011_S8884919/d03-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2011_S8884919/d03-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	5.000000e-01	1.076000e-01	1.580285e-02	2.725949e-02
5.000000e-01	1.500000e+00	6.550000e-02	9.464143e-03	1.115437e-02
1.500000e+00	2.500000e+00	7.574000e-02	8.214195e-03	9.740395e-03
2.500000e+00	3.500000e+00	8.168000e-02	6.764266e-03	8.248079e-03
3.500000e+00	4.500000e+00	8.130000e-02	5.891664e-03	7.285582e-03
4.500000e+00	5.500000e+00	7.622000e-02	5.200240e-03	6.454340e-03
5.500000e+00	6.500000e+00	6.843000e-02	4.441734e-03	5.595159e-03
6.500000e+00	7.500000e+00	6.034000e-02	3.671512e-03	4.804040e-03
7.500000e+00	8.500000e+00	5.259000e-02	2.914944e-03	4.055046e-03
8.500000e+00	9.500000e+00	4.580000e-02	2.415057e-03	3.454417e-03
9.500000e+00	1.050000e+01	3.987000e-02	2.055432e-03	2.964456e-03
1.050000e+01	1.150000e+01	3.472000e-02	1.767060e-03	2.545584e-03
1.150000e+01	1.250000e+01	3.035000e-02	1.550032e-03	2.198045e-03
1.250000e+01	1.350000e+01	2.661000e-02	1.380036e-03	1.908743e-03
1.350000e+01	1.450000e+01	2.328000e-02	1.268464e-03	1.669042e-03
1.450000e+01	1.550000e+01	2.018000e-02	1.176308e-03	1.468911e-03
1.550000e+01	1.650000e+01	1.728000e-02	1.084159e-03	1.317953e-03
1.650000e+01	1.750000e+01	1.470000e-02	9.823441e-04	1.186634e-03
1.750000e+01	1.850000e+01	1.250000e-02	8.805680e-04	1.065129e-03
1.850000e+01	1.950000e+01	1.067000e-02	7.692204e-04	9.339165e-04
1.950000e+01	2.050000e+01	9.160000e-03	6.705222e-04	8.052329e-04
2.050000e+01	2.150000e+01	7.860000e-03	5.913544e-04	6.868042e-04
2.150000e+01	2.250000e+01	6.710000e-03	5.375872e-04	5.948109e-04
2.250000e+01	2.350000e+01	5.700000e-03	5.154610e-04	5.440588e-04
2.350000e+01	2.450000e+01	4.780000e-03	5.124451e-04	5.220153e-04
2.450000e+01	2.550000e+01	3.940000e-03	4.904080e-04	5.192302e-04
2.550000e+01	2.650000e+01	3.190000e-03	4.492215e-04	4.972927e-04
2.650000e+01	2.750000e+01	2.510000e-03	3.700000e-04	4.368066e-04
2.750000e+01	2.850000e+01	1.960000e-03	3.008322e-04	3.573514e-04
2.850000e+01	2.950000e+01	1.560000e-03	2.416609e-04	2.879236e-04
2.950000e+01	3.050000e+01	1.301000e-03	2.110853e-04	2.420021e-04
3.050000e+01	3.150000e+01	1.121000e-03	1.825294e-04	2.031059e-04
3.150000e+01	3.250000e+01	9.840000e-04	1.662077e-04	1.670748e-04
3.250000e+01	3.350000e+01	8.250000e-04	1.466322e-04	1.364588e-04
3.350000e+01	3.450000e+01	6.390000e-04	1.222988e-04	1.197080e-04
3.450000e+01	3.750000e+01	3.780000e-04	7.826238e-05	9.470480e-05
3.750000e+01	4.250000e+01	1.960000e-04	4.742362e-05	5.758472e-05
4.250000e+01	4.750000e+01	6.000000e-05	2.109502e-05	2.195450e-05
4.750000e+01	5.250000e+01	1.250000e-05	6.161980e-06	7.481310e-06
5.250000e+01	5.750000e+01	1.600000e-06	1.360147e-06	1.702939e-06
# END HISTO1D


# BEGIN HISTO1D //home/ceskajak/Ups/PYTHIA/rivet_MinBias/PY_rivet_MinBias.yoda/CMS_2011_S8884919/d03-x01-y01
LineColor=red
LineStyle=solid
Path=//home/ceskajak/Ups/PYTHIA/rivet_MinBias/PY_rivet_MinBias.yoda/CMS_2011_S8884919/d03-x01-y01
ScaledBy=4.46630992769436831e-10
Title=PY_rivet_MinBias
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	5.000000e-01	3.057220e-02	3.695198e-06	3.695198e-06
5.000000e-01	1.500000e+00	1.548884e-02	2.630170e-06	2.630170e-06
1.500000e+00	2.500000e+00	2.290365e-02	3.198356e-06	3.198356e-06
2.500000e+00	3.500000e+00	2.985149e-02	3.651383e-06	3.651383e-06
3.500000e+00	4.500000e+00	3.486928e-02	3.946353e-06	3.946353e-06
4.500000e+00	5.500000e+00	3.627385e-02	4.025050e-06	4.025050e-06
5.500000e+00	6.500000e+00	3.417380e-02	3.906799e-06	3.906799e-06
6.500000e+00	7.500000e+00	3.177982e-02	3.767473e-06	3.767473e-06
7.500000e+00	8.500000e+00	2.890182e-02	3.592833e-06	3.592833e-06
8.500000e+00	9.500000e+00	2.812101e-02	3.543968e-06	3.543968e-06
9.500000e+00	1.050000e+01	2.621013e-02	3.421441e-06	3.421441e-06
1.050000e+01	1.150000e+01	2.653302e-02	3.442451e-06	3.442451e-06
1.150000e+01	1.250000e+01	2.543523e-02	3.370484e-06	3.370484e-06
1.250000e+01	1.350000e+01	2.518527e-02	3.353883e-06	3.353883e-06
1.350000e+01	1.450000e+01	2.453269e-02	3.310145e-06	3.310145e-06
1.450000e+01	1.550000e+01	2.478072e-02	3.326836e-06	3.326836e-06
1.550000e+01	1.650000e+01	2.430230e-02	3.294565e-06	3.294565e-06
1.650000e+01	1.750000e+01	2.384537e-02	3.263446e-06	3.263446e-06
1.750000e+01	1.850000e+01	2.496707e-02	3.339322e-06	3.339322e-06
1.850000e+01	1.950000e+01	2.249078e-02	3.169397e-06	3.169397e-06
1.950000e+01	2.050000e+01	2.295654e-02	3.202046e-06	3.202046e-06
2.050000e+01	2.150000e+01	2.165004e-02	3.109595e-06	3.109595e-06
2.150000e+01	2.250000e+01	2.126090e-02	3.081522e-06	3.081522e-06
2.250000e+01	2.350000e+01	2.226020e-02	3.153108e-06	3.153108e-06
2.350000e+01	2.450000e+01	2.171703e-02	3.114401e-06	3.114401e-06
2.450000e+01	2.550000e+01	2.136501e-02	3.089058e-06	3.089058e-06
2.550000e+01	2.650000e+01	1.994002e-02	2.984264e-06	2.984264e-06
2.650000e+01	2.750000e+01	2.012913e-02	2.998382e-06	2.998382e-06
2.750000e+01	2.850000e+01	1.931073e-02	2.936796e-06	2.936796e-06
2.850000e+01	2.950000e+01	1.977637e-02	2.971992e-06	2.971992e-06
2.950000e+01	3.050000e+01	1.785572e-02	2.823990e-06	2.823990e-06
3.050000e+01	3.150000e+01	1.700712e-02	2.756068e-06	2.756068e-06
3.150000e+01	3.250000e+01	1.796475e-02	2.832598e-06	2.832598e-06
3.250000e+01	3.350000e+01	1.632242e-02	2.700018e-06	2.700018e-06
3.350000e+01	3.450000e+01	1.475436e-02	2.567052e-06	2.567052e-06
3.450000e+01	3.750000e+01	1.386847e-02	1.436905e-06	1.436905e-06
3.750000e+01	4.250000e+01	1.025811e-02	9.572448e-07	9.572448e-07
4.250000e+01	4.750000e+01	6.590538e-03	7.672728e-07	7.672728e-07
4.750000e+01	5.250000e+01	3.898332e-03	5.901045e-07	5.901045e-07
5.250000e+01	5.750000e+01	2.253524e-03	4.486632e-07	4.486632e-07
# END HISTO1D

